,EmployerName,MinPositionSalary,MaxPositionSalary,OvertimePay,LumpSumPay,OtherPay,EmployeesRetirementCostCovered,HealthDentalVision,PensionFormula,EmployerURL,EmployerCounty,TotalWages
14666,"State Polytech University, San Luis Obispo",50148,71304,0,0,1023.79,0,8327.22,2.00% @ 62,http://www.afd.calpoly.edu/hr/,San Luis Obispo,45636.79
65188,"State University, Los Angeles",28152,66204,0,0,0,0,0,,http://www.calstatela.edu/hrm,Los Angeles,6867.75
88455,"State University, San Diego",37380,65700,0,0,650,0,23270.64,2.00% @ 55,http://bfa.sdsu.edu/hr/,San Diego,43588.08
53770,"State University, Long Beach",28079.4,41432.76,0,0,0,0,0,,http://daf.csulb.edu/offices/bhr/,Los Angeles,9922.5
63440,"State University, Los Angeles",59076,131088,0,0,951.4,0,1732.29,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.calstatela.edu/hrm,Los Angeles,20125.83
40772,"State University, Fullerton",40656,78576,0,0,1725.9,0,23270.64,2.00% @ 55,http://hr.fullerton.edu/,Orange,56825.14
74864,"State University, Northridge",22879.56,38749.56,0,0,2277.5,0,0,,http://www.csun.edu/hr,Los Angeles,2277.5
93433,"State University, San Diego",22879.56,112317.84,0,0,13663.55,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://bfa.sdsu.edu/hr/,San Diego,13663.55
42422,"State University, Fullerton",28079.4,41432.76,0,0,0,0,0,,http://hr.fullerton.edu/,Orange,217.1
107815,"State University, San Jose",28079.4,41432.76,0,0,0,0,0,,http://www2.sjsu.edu/hr/,Santa Clara,1114.5
64546,"State University, Los Angeles",22879.56,38749.56,0,0,1782,0,0,,http://www.calstatela.edu/hrm,Los Angeles,1782
15722,"State University, Bakersfield",85188,150792,0,0,0,0,89.64,2.00% @ 55,http://www.csub.edu/BAS/hr/,Kern,84026
3876,"State Polytech University, Pomona",59076,131088,0,0,0,0,3614.64,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.cpp.edu/~hr/index.shtml,Los Angeles,27820.4
117896,"State University, Sonoma",28079.4,41432.76,0,0,0,0,0,,http://www.sonoma.edu/hr/,Sonoma,780
20202,"State University, Channel Islands",22879.56,38749.56,0,0,7024.3,0,0,,http://www.csuci.edu/hr/employment.htm,Ventura ,10120.8
13928,"State Polytech University, San Luis Obispo",22879.56,38749.56,0,0,286,0,0,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,286
36932,"State University, Fresno",56184,86820,16232.85,0,11080.2,6164.46,22640.64,3.00% @ 50,http://www.csufresno.edu/humres/,Fresno  ,90661.05
102,Chancellor's Office,37380,65700,0,0,3441.72,0,1769.64,2.00% @ 62,http://www.calstate.edu/HRS/,Los Angeles,34236.6
101211,"State University, San Francisco",49512,66192,0,0,0,0,9360.64,2.00% @ 62,http://www.sfsu.edu/~hrwww/,San Francisco,49039.2
71723,"State University, Northridge",49512,66192,0,0,0,0,89.64,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.csun.edu/hr,Los Angeles,21614.8
91527,"State University, San Diego",28079.4,41432.76,0,0,0,0,0,,http://bfa.sdsu.edu/hr/,San Diego,1393.6
70021,"State University, Northridge",85188,150792,0,0,24942.4,0,23270.64,2.00% @ 55,http://www.csun.edu/hr,Los Angeles,124061.4
96063,"State University, San Diego",22879.56,38749.56,0,0,4340,0,0,,http://bfa.sdsu.edu/hr/,San Diego,5119.9
80468,"State University, Sacramento",59076,131088,0,0,0,0,22.41,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.csus.edu/hr/,Sacramento,9499.8
39059,"State University, Fresno",28152,66204,0,0,1505.4,0,0,,http://www.csufresno.edu/humres/,Fresno  ,2272.2
116129,"State University, San Marcos",44220,62556,0,0,1023.79,0,9329.16,2.00% @ 55,http://www.csusm.edu/HR/,San Diego,44311.07
115326,"State University, San Marcos",57996,122292,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.csusm.edu/HR/,San Diego,27550
